id,question,options,correct_answer,module_id,order,created_at,section_id
51,What is the minimum recommended length for a strong password?,"[""8 characters"", ""10 characters"", ""12 characters"", ""16 characters""]",2,1,1,2025-07-17 09:30:43.081654,7
52,Which of the following is the most secure way to store passwords?,"[""Write them down on paper"", ""Use a password manager"", ""Save them in browser"", ""Use the same password everywhere""]",1,1,2,2025-07-17 09:30:43.081654,7
53,What should you do if you suspect your password has been compromised?,"[""Wait and see"", ""Change it immediately"", ""Use it for one more week"", ""Ask IT after the weekend""]",1,1,3,2025-07-17 09:30:43.081654,7
54,Which character types should be included in a strong password?,"[""Only letters"", ""Letters and numbers"", ""Letters, numbers, and symbols"", ""Only symbols""]",2,1,4,2025-07-17 09:30:43.081654,7
55,How often should you change your passwords?,"[""Never"", ""When required or compromised"", ""Every day"", ""Every month""]",1,1,5,2025-07-17 09:30:43.081654,7
56,What is the most important security practice for mobile devices?,"[""Never use them for work"", ""Enable automatic screen lock"", ""Only use WiFi"", ""Turn off all notifications""]",1,2,1,2025-07-17 09:30:54.169472,7
57,Which of the following is a safe practice when using public WiFi?,"[""Connect to any available network"", ""Use a VPN"", ""Disable firewall"", ""Share your connection""]",1,2,2,2025-07-17 09:30:54.169472,7
58,What should you do before disposing of an old device?,"[""Sell it immediately"", ""Wipe all data completely"", ""Remove the battery"", ""Just delete files""]",1,2,3,2025-07-17 09:30:54.169472,7
59,How often should you update your device software?,"[""Never"", ""When prompted or regularly"", ""Once a year"", ""Only when it breaks""]",1,2,4,2025-07-17 09:30:54.169472,7
60,What is the best practice for device physical security?,"[""Leave it unlocked for convenience"", ""Always lock and secure when not in use"", ""Only lock at night"", ""Share access with colleagues""]",1,2,5,2025-07-17 09:30:54.169472,7
61,Which type of charging cable should you avoid in public places?,"[""USB-C cables"", ""Unknown or untrusted cables"", ""Lightning cables"", ""Wireless chargers""]",1,2,6,2025-07-17 09:30:54.169472,7
62,What is the most common way phishing attacks are delivered?,"[""Phone calls"", ""Email messages"", ""Text messages"", ""Social media posts""]",1,3,1,2025-07-17 09:31:05.72312,7
63,Which of the following is a red flag in an email that might indicate phishing?,"[""Proper grammar"", ""Urgent action required"", ""Company logo"", ""Professional formatting""]",1,3,2,2025-07-17 09:31:05.72312,7
64,What should you do if you receive a suspicious email?,"[""Click links to verify"", ""Forward to colleagues"", ""Report to IT security"", ""Delete immediately without reporting""]",2,3,3,2025-07-17 09:31:05.72312,7
